                                                   winXport,                                                                ,               winXport,,,,
S.NO,NAME,LINK,quantity,price per 1,price w/o shipping,price in inr
1,"7"" 1024 x 600 IPS Display for LattePanda",lattepanda  display,1,$45,$65,RS.5850
2,"7"" Capacitive Touch Panel Overlay for LattePanda",lattepanda overlay,1,$19,$19,RS.1780
3,BMS - 20A Li-ion Battery Protection Board,BMS PROTECTION,1,$0.70,$0.70,RS.60
4,LattePanda V1 - The Windows 10 Single Board,Lattepanda v1,1,$135,$135,RS.12150
5,3.7v 2500mah 18650 Li-Ion Battery,BATTERY,3,$0.88,$2.64,RS.237
6,Power Jack Socket for DC power supply Connector,DC socket,1,$1.54,$1.55,RS.140
7,DC 3A 5V Step-down Power Supply Module,5V regulator,1,$0.54,$0.55,RS.50
8,Micro USB 4pin Male Connector,MICRO USB,1,$0.77,$0.78,RS.70
9,two-Channel Stereo  Audio Amplifier,AMPLIFIEER,1,$0.61,$0.62,RS.58
10,0.5Watt Power Audio Speaker,SPEAKER,2,$1.15,$1.16,RS.104
11,3.5 mm Stereo Type Connector Pin,AUDIO JACK,1,$1.54,$1.55,RS.140
12,M2.5x8mm screws,Onlyscrews.in,14,$0.029,$0.030,RS.36.40
13,M2.5x8mm inserts,Onlyscrews.in,14,$0.029,$0.029,RS.36.40
,,,,,GRAND TOTAL = $228.60,"GRAND TOTAL(INR)=RS.20,100"
